id,nome,preco,taxa
745,Eletronico 745,3674.9,0.17
746,Eletronico 746,4551.08,0.06
747,Eletronico 747,2211.41,0.19
748,Eletronico 748,4609.91,0.19
749,Eletronico 749,1199.97,0.17
750,Eletronico 750,882.23,0.09
751,Eletronico 751,3665.75,0.12
752,Eletronico 752,583.58,0.14
753,Eletronico 753,1958.82,0.13
754,Eletronico 754,3286.34,0.15
755,Eletronico 755,742.42,0.1
756,Eletronico 756,3255.25,0.13
757,Eletronico 757,3310.61,0.15
758,Eletronico 758,3470.36,0.13
759,Eletronico 759,4356.71,0.07
760,Eletronico 760,3623.93,0.17
761,Eletronico 761,2983.43,0.14
762,Eletronico 762,1531.5,0.08
763,Eletronico 763,533.38,0.07
764,Eletronico 764,3636.68,0.08
765,Eletronico 765,2901.42,0.07
766,Eletronico 766,3609.91,0.16
767,Eletronico 767,843.85,0.15
768,Eletronico 768,2711.73,0.15
769,Eletronico 769,2254.67,0.14
770,Eletronico 770,4288.31,0.19
771,Eletronico 771,3604.5,0.12
772,Eletronico 772,2099.62,0.07
773,Eletronico 773,2404.89,0.15
774,Eletronico 774,627.93,0.08
775,Eletronico 775,3303.56,0.18
776,Eletronico 776,4943.33,0.15
777,Eletronico 777,1090.29,0.11
778,Eletronico 778,411.69,0.14
779,Eletronico 779,3573.08,0.17
780,Eletronico 780,592.14,0.19
781,Eletronico 781,2488.11,0.14
782,Eletronico 782,784.9,0.19
783,Eletronico 783,1422.32,0.14
784,Eletronico 784,2883.18,0.13
785,Eletronico 785,38.71,0.14
786,Eletronico 786,892.04,0.1
787,Eletronico 787,786.26,0.2
788,Eletronico 788,2064.18,0.06
789,Eletronico 789,3323.4,0.06
790,Eletronico 790,1628.44,0.17
791,Eletronico 791,3250.25,0.15
792,Eletronico 792,2531.66,0.09
793,Eletronico 793,165.47,0.06
794,Eletronico 794,3793.96,0.17
795,Eletronico 795,1055.48,0.19
796,Eletronico 796,2801.25,0.14
797,Eletronico 797,4114.73,0.18
798,Eletronico 798,3549.65,0.14
799,Eletronico 799,2954.89,0.19
800,Eletronico 800,314.82,0.16
801,Eletronico 801,2530.28,0.14
802,Eletronico 802,2543.22,0.17
803,Eletronico 803,2588.84,0.1
804,Eletronico 804,3330.3,0.06
805,Eletronico 805,4268.58,0.08
806,Eletronico 806,4084.66,0.09
807,Eletronico 807,1884.15,0.19
808,Eletronico 808,3593.74,0.15
809,Eletronico 809,2528.77,0.12
810,Eletronico 810,4907.21,0.08
811,Eletronico 811,112.0,0.16
812,Eletronico 812,1713.95,0.15
813,Eletronico 813,3406.56,0.06
814,Eletronico 814,1165.28,0.06
815,Eletronico 815,2822.42,0.19
816,Eletronico 816,3544.11,0.12
817,Eletronico 817,604.87,0.11
818,Eletronico 818,4162.91,0.14
819,Eletronico 819,4431.06,0.19
820,Eletronico 820,4774.41,0.2
821,Eletronico 821,1957.45,0.15
822,Eletronico 822,2933.22,0.15
823,Eletronico 823,1859.26,0.1
824,Eletronico 824,2956.11,0.11
825,Eletronico 825,4009.21,0.19
826,Eletronico 826,3234.5,0.08
827,Eletronico 827,2489.12,0.15
828,Eletronico 828,1232.15,0.09
829,Eletronico 829,1496.91,0.09
830,Eletronico 830,4070.38,0.15
831,Eletronico 831,511.81,0.08
832,Eletronico 832,1122.79,0.1
833,Eletronico 833,1920.16,0.17
834,Eletronico 834,555.77,0.15
835,Eletronico 835,2368.71,0.07
836,Eletronico 836,577.76,0.18
837,Eletronico 837,4103.59,0.05
838,Eletronico 838,4230.04,0.1
839,Eletronico 839,4895.42,0.07
840,Eletronico 840,1524.39,0.12
841,Eletronico 841,383.77,0.12
842,Eletronico 842,2010.67,0.06
843,Eletronico 843,2766.84,0.17
844,Eletronico 844,2420.32,0.18
845,Eletronico 845,960.46,0.16
846,Eletronico 846,408.78,0.1
847,Eletronico 847,4034.26,0.12
848,Eletronico 848,99.98,0.05
849,Eletronico 849,3197.36,0.13
850,Eletronico 850,1029.96,0.11
851,Eletronico 851,1196.85,0.16
852,Eletronico 852,1482.6,0.15
853,Eletronico 853,1290.92,0.09
854,Eletronico 854,2695.55,0.08
855,Eletronico 855,1449.44,0.1
856,Eletronico 856,1095.38,0.09
857,Eletronico 857,1404.43,0.18
858,Eletronico 858,41.0,0.17
859,Eletronico 859,3458.66,0.19
860,Eletronico 860,1233.55,0.15
861,Eletronico 861,1700.27,0.19
862,Eletronico 862,272.05,0.14
863,Eletronico 863,447.6,0.19
864,Eletronico 864,3129.57,0.1
865,Eletronico 865,1030.11,0.11
866,Eletronico 866,3452.7,0.17
867,Eletronico 867,2463.16,0.09
868,Eletronico 868,963.84,0.12
869,Eletronico 869,627.18,0.06
870,Eletronico 870,1357.17,0.1
871,Eletronico 871,2044.27,0.1
872,Eletronico 872,2993.34,0.13
873,Eletronico 873,444.59,0.13
874,Eletronico 874,1202.66,0.2
875,Eletronico 875,4858.0,0.12
876,Eletronico 876,2738.87,0.1
877,Eletronico 877,2378.09,0.07
878,Eletronico 878,4200.92,0.2
879,Eletronico 879,2717.97,0.11
880,Eletronico 880,1299.57,0.17
881,Eletronico 881,3055.96,0.16
882,Eletronico 882,229.91,0.16
883,Eletronico 883,2454.71,0.08
884,Eletronico 884,2251.61,0.06
885,Eletronico 885,1220.36,0.11
886,Eletronico 886,2392.3,0.15
887,Eletronico 887,593.55,0.12
888,Eletronico 888,4145.42,0.19
889,Eletronico 889,986.1,0.15
890,Eletronico 890,1997.38,0.17
891,Eletronico 891,536.68,0.07
892,Eletronico 892,2071.06,0.2
893,Eletronico 893,3376.52,0.07
894,Eletronico 894,190.1,0.17
895,Eletronico 895,2852.84,0.08
896,Eletronico 896,2123.74,0.12
897,Eletronico 897,4842.63,0.07
898,Eletronico 898,4382.64,0.05
899,Eletronico 899,2338.74,0.1
900,Eletronico 900,2053.2,0.15
901,Eletronico 901,2226.67,0.14
902,Eletronico 902,2911.86,0.17
903,Eletronico 903,3545.41,0.12
904,Eletronico 904,3847.55,0.12
905,Eletronico 905,632.55,0.18
906,Eletronico 906,920.04,0.09
907,Eletronico 907,643.56,0.06
908,Eletronico 908,2871.53,0.13
909,Eletronico 909,4401.07,0.06
910,Eletronico 910,3451.45,0.2
911,Eletronico 911,13.83,0.09
912,Eletronico 912,4958.55,0.09
913,Eletronico 913,580.62,0.16
914,Eletronico 914,3331.66,0.15
915,Eletronico 915,4625.99,0.14
916,Eletronico 916,3325.33,0.06
917,Eletronico 917,4242.89,0.18
918,Eletronico 918,4522.43,0.07
919,Eletronico 919,4272.69,0.18
920,Eletronico 920,688.4,0.08
921,Eletronico 921,3794.16,0.1
922,Eletronico 922,2643.25,0.16
923,Eletronico 923,2422.13,0.19
924,Eletronico 924,2997.75,0.17
925,Eletronico 925,18.73,0.12
926,Eletronico 926,4003.0,0.08
927,Eletronico 927,2669.4,0.11
928,Eletronico 928,3148.12,0.09
929,Eletronico 929,3266.53,0.1
930,Eletronico 930,4745.06,0.07
931,Eletronico 931,3377.41,0.18
932,Eletronico 932,1393.06,0.05
933,Eletronico 933,1681.63,0.15
934,Eletronico 934,755.93,0.1
935,Eletronico 935,1533.96,0.2
936,Eletronico 936,4579.26,0.16
937,Eletronico 937,1000.18,0.14
938,Eletronico 938,3438.18,0.17
939,Eletronico 939,1096.29,0.18
940,Eletronico 940,601.41,0.08
941,Eletronico 941,2423.01,0.07
942,Eletronico 942,4102.97,0.2
943,Eletronico 943,1592.37,0.07
944,Eletronico 944,137.66,0.19
945,Eletronico 945,1640.14,0.13
946,Eletronico 946,2665.68,0.1
947,Eletronico 947,2880.43,0.1
948,Eletronico 948,4081.82,0.09
949,Eletronico 949,4446.8,0.09
950,Eletronico 950,1373.8,0.17
951,Eletronico 951,2837.84,0.06
952,Eletronico 952,1052.87,0.19
953,Eletronico 953,2793.31,0.11
954,Eletronico 954,3400.78,0.15
955,Eletronico 955,1429.75,0.09
956,Eletronico 956,2116.74,0.15
957,Eletronico 957,965.18,0.07
958,Eletronico 958,2568.49,0.16
959,Eletronico 959,4267.84,0.12
960,Eletronico 960,1109.13,0.08
961,Eletronico 961,4062.3,0.09
962,Eletronico 962,1561.23,0.12
963,Eletronico 963,1886.14,0.16
964,Eletronico 964,1608.29,0.15
965,Eletronico 965,2089.39,0.19
966,Eletronico 966,4742.57,0.09
967,Eletronico 967,519.47,0.19
968,Eletronico 968,3664.06,0.14
969,Eletronico 969,2144.9,0.16
970,Eletronico 970,3599.31,0.17
971,Eletronico 971,13.6,0.07
972,Eletronico 972,1522.44,0.09
973,Eletronico 973,814.09,0.08
974,Eletronico 974,4637.19,0.18
975,Eletronico 975,795.84,0.11
976,Eletronico 976,2525.44,0.16
977,Eletronico 977,4702.8,0.14
978,Eletronico 978,1328.08,0.1
979,Eletronico 979,2086.98,0.08
980,Eletronico 980,3455.33,0.19
981,Eletronico 981,4771.15,0.1
982,Eletronico 982,2517.32,0.19
983,Eletronico 983,4131.04,0.1
984,Eletronico 984,3857.33,0.2
985,Eletronico 985,751.04,0.06
986,Eletronico 986,4836.14,0.08
987,Eletronico 987,2123.87,0.19
988,Eletronico 988,1263.45,0.17
989,Eletronico 989,4851.83,0.07
990,Eletronico 990,2748.93,0.18
991,Eletronico 991,1803.7,0.09
992,Eletronico 992,4872.91,0.1
993,Eletronico 993,503.1,0.19
994,Eletronico 994,4151.71,0.2
995,Eletronico 995,2777.48,0.15
996,Eletronico 996,4638.05,0.1
997,Eletronico 997,2571.11,0.18
998,Eletronico 998,4103.36,0.2
999,Eletronico 999,413.0,0.07
1000,Eletronico 1000,2048.56,0.11
1001,Eletronico 1001,2780.84,0.08
1002,Eletronico 1002,577.17,0.19
1003,Eletronico 1003,3415.61,0.07
1004,Eletronico 1004,1036.73,0.17
1005,Eletronico 1005,4436.22,0.06
1006,Eletronico 1006,4868.56,0.14
1007,Eletronico 1007,1269.15,0.1
1008,Eletronico 1008,2482.99,0.13
1009,Eletronico 1009,4890.0,0.13
1010,Eletronico 1010,4000.32,0.17
1011,Eletronico 1011,3247.86,0.08
1012,Eletronico 1012,236.77,0.13
1013,Eletronico 1013,1148.84,0.17
1014,Eletronico 1014,366.91,0.11
1015,Eletronico 1015,1550.87,0.07
1016,Eletronico 1016,28.44,0.09
1017,Eletronico 1017,1370.76,0.08
1018,Eletronico 1018,1424.86,0.12
1019,Eletronico 1019,2798.19,0.17
1020,Eletronico 1020,4948.21,0.08
1021,Eletronico 1021,111.41,0.13
1022,Eletronico 1022,4829.31,0.16
1023,Eletronico 1023,2748.87,0.19
1024,Eletronico 1024,3032.79,0.12
1025,Eletronico 1025,691.85,0.15
1026,Eletronico 1026,193.98,0.1
1027,Eletronico 1027,3420.46,0.19
1028,Eletronico 1028,2038.77,0.07
1029,Eletronico 1029,3767.15,0.1
1030,Eletronico 1030,1585.89,0.08
1031,Eletronico 1031,3347.25,0.07
1032,Eletronico 1032,4850.11,0.12
1033,Eletronico 1033,112.53,0.19
1034,Eletronico 1034,3085.57,0.14
1035,Eletronico 1035,235.44,0.08
1036,Eletronico 1036,3305.55,0.13
1037,Eletronico 1037,1916.87,0.19
1038,Eletronico 1038,4859.05,0.17
1039,Eletronico 1039,3336.52,0.06
1040,Eletronico 1040,2100.34,0.09
1041,Eletronico 1041,1076.12,0.12
1042,Eletronico 1042,1365.15,0.19
1043,Eletronico 1043,4808.19,0.16
1044,Eletronico 1044,1916.6,0.18
1045,Eletronico 1045,1218.45,0.2
1046,Eletronico 1046,4326.47,0.09
1047,Eletronico 1047,716.42,0.18
1048,Eletronico 1048,1418.73,0.13
1049,Eletronico 1049,600.03,0.18
1050,Eletronico 1050,1196.34,0.07
1051,Eletronico 1051,1477.25,0.05
1052,Eletronico 1052,3116.93,0.07
1053,Eletronico 1053,1648.62,0.2
1054,Eletronico 1054,2161.62,0.12
1055,Eletronico 1055,226.17,0.05
1056,Eletronico 1056,2782.86,0.14
1057,Eletronico 1057,4567.78,0.08
1058,Eletronico 1058,418.4,0.19
1059,Eletronico 1059,4476.11,0.08
1060,Eletronico 1060,4584.59,0.16
1061,Eletronico 1061,2806.21,0.08
1062,Eletronico 1062,4955.94,0.12
1063,Eletronico 1063,755.76,0.2
1064,Eletronico 1064,2452.49,0.18
1065,Eletronico 1065,155.18,0.13
1066,Eletronico 1066,2856.08,0.07
1067,Eletronico 1067,1902.9,0.14
1068,Eletronico 1068,1142.18,0.2
1069,Eletronico 1069,1014.17,0.06
1070,Eletronico 1070,4102.89,0.16
1071,Eletronico 1071,4911.95,0.12
1072,Eletronico 1072,4918.13,0.13
1073,Eletronico 1073,2135.99,0.07
1074,Eletronico 1074,3783.17,0.07
1075,Eletronico 1075,2304.25,0.07
1076,Eletronico 1076,4286.41,0.19
1077,Eletronico 1077,1403.78,0.19
1078,Eletronico 1078,1921.32,0.18
1079,Eletronico 1079,477.93,0.15
1080,Eletronico 1080,887.62,0.08
1081,Eletronico 1081,1135.35,0.06
1082,Eletronico 1082,2464.17,0.19
1083,Eletronico 1083,1020.73,0.07
1084,Eletronico 1084,385.95,0.08
1085,Eletronico 1085,4571.74,0.19
1086,Eletronico 1086,972.58,0.08
1087,Eletronico 1087,4572.53,0.06
1088,Eletronico 1088,728.28,0.19
1089,Eletronico 1089,3786.13,0.14
1090,Eletronico 1090,2554.04,0.13
1091,Eletronico 1091,391.6,0.16
1092,Eletronico 1092,1595.38,0.2
1093,Eletronico 1093,3001.55,0.15
1094,Eletronico 1094,536.49,0.07
1095,Eletronico 1095,4046.15,0.11
1096,Eletronico 1096,3099.39,0.09
1097,Eletronico 1097,2385.88,0.06
1098,Eletronico 1098,4444.68,0.08
1099,Eletronico 1099,4095.75,0.09
1100,Eletronico 1100,2286.42,0.09
1101,Eletronico 1101,2366.58,0.12
1102,Eletronico 1102,1495.02,0.17
1103,Eletronico 1103,1863.65,0.12
1104,Eletronico 1104,3518.32,0.14
1105,Eletronico 1105,963.59,0.16
1106,Eletronico 1106,1210.9,0.08
1107,Eletronico 1107,4827.28,0.08
1108,Eletronico 1108,3788.15,0.12
1109,Eletronico 1109,4285.5,0.14
1110,Eletronico 1110,912.48,0.06
1111,Eletronico 1111,3136.21,0.11
1112,Eletronico 1112,1592.36,0.07
1113,Eletronico 1113,3132.69,0.14
1114,Eletronico 1114,3363.09,0.05
1115,Eletronico 1115,2475.78,0.14
1116,Eletronico 1116,2881.27,0.13
1117,Eletronico 1117,1016.06,0.17
1118,Eletronico 1118,2757.23,0.18
1119,Eletronico 1119,2189.26,0.12
1120,Eletronico 1120,3973.89,0.1
1121,Eletronico 1121,1319.79,0.09
1122,Eletronico 1122,2050.14,0.13
1123,Eletronico 1123,4431.11,0.07
1124,Eletronico 1124,576.27,0.19
1125,Eletronico 1125,2739.63,0.09
1126,Eletronico 1126,1309.0,0.1
1127,Eletronico 1127,2419.41,0.12
1128,Eletronico 1128,3550.22,0.06
1129,Eletronico 1129,812.58,0.14
1130,Eletronico 1130,4935.6,0.17
1131,Eletronico 1131,2428.9,0.05
1132,Eletronico 1132,3748.45,0.07
1133,Eletronico 1133,1534.71,0.17
1134,Eletronico 1134,1646.37,0.17
1135,Eletronico 1135,2047.34,0.18
1136,Eletronico 1136,4017.95,0.12
1137,Eletronico 1137,3997.02,0.09
1138,Eletronico 1138,1668.49,0.13
1139,Eletronico 1139,2503.52,0.19
1140,Eletronico 1140,1658.23,0.11
1141,Eletronico 1141,2191.41,0.15
1142,Eletronico 1142,1738.24,0.19
1143,Eletronico 1143,1471.47,0.13
1144,Eletronico 1144,4096.74,0.1
1145,Eletronico 1145,4072.65,0.18
1146,Eletronico 1146,3342.95,0.1
1147,Eletronico 1147,2463.39,0.14
1148,Eletronico 1148,4119.27,0.17
1149,Eletronico 1149,370.42,0.12
1150,Eletronico 1150,2094.24,0.1
1151,Eletronico 1151,4378.33,0.09
1152,Eletronico 1152,4647.18,0.13
1153,Eletronico 1153,752.28,0.08
1154,Eletronico 1154,561.69,0.08
1155,Eletronico 1155,3286.23,0.15
1156,Eletronico 1156,4821.9,0.07
1157,Eletronico 1157,3837.34,0.13
1158,Eletronico 1158,2549.2,0.09
1159,Eletronico 1159,1772.99,0.14
1160,Eletronico 1160,907.1,0.09
1161,Eletronico 1161,2724.22,0.07
1162,Eletronico 1162,3015.02,0.11
1163,Eletronico 1163,1493.08,0.18
1164,Eletronico 1164,4691.09,0.05
1165,Eletronico 1165,1145.63,0.18
1166,Eletronico 1166,3477.23,0.16
1167,Eletronico 1167,2460.84,0.18
1168,Eletronico 1168,2210.31,0.14
1169,Eletronico 1169,3924.65,0.15
1170,Eletronico 1170,2170.08,0.18
1171,Eletronico 1171,627.7,0.11
1172,Eletronico 1172,2248.26,0.05
1173,Eletronico 1173,4245.16,0.15
1174,Eletronico 1174,1309.21,0.1
1175,Eletronico 1175,3636.22,0.16
1176,Eletronico 1176,3590.77,0.11
1177,Eletronico 1177,837.46,0.13
1178,Eletronico 1178,726.08,0.1
1179,Eletronico 1179,1026.2,0.06
1180,Eletronico 1180,1283.34,0.18
1181,Eletronico 1181,2323.3,0.14
1182,Eletronico 1182,3325.01,0.19
1183,Eletronico 1183,961.82,0.18
1184,Eletronico 1184,2505.65,0.13
1185,Eletronico 1185,232.77,0.06
1186,Eletronico 1186,2790.15,0.13
1187,Eletronico 1187,335.96,0.16
1188,Eletronico 1188,421.36,0.19
1189,Eletronico 1189,769.15,0.11
1190,Eletronico 1190,1476.48,0.1
1191,Eletronico 1191,164.14,0.16
1192,Eletronico 1192,4596.74,0.19
1193,Eletronico 1193,4703.04,0.2
1194,Eletronico 1194,1940.02,0.07
1195,Eletronico 1195,3623.85,0.15
1196,Eletronico 1196,4096.7,0.12
1197,Eletronico 1197,3626.79,0.14
1198,Eletronico 1198,1629.14,0.13
1199,Eletronico 1199,4076.45,0.15
1200,Eletronico 1200,1429.14,0.15
1201,Eletronico 1201,124.63,0.1
1202,Eletronico 1202,590.87,0.11
1203,Eletronico 1203,1268.93,0.1
1204,Eletronico 1204,3959.12,0.09
1205,Eletronico 1205,1837.1,0.11
1206,Eletronico 1206,49.6,0.13
1207,Eletronico 1207,872.8,0.09
1208,Eletronico 1208,4570.22,0.08
1209,Eletronico 1209,1446.64,0.18
1210,Eletronico 1210,3966.59,0.14
1211,Eletronico 1211,1799.41,0.07
1212,Eletronico 1212,3938.9,0.11
1213,Eletronico 1213,1745.21,0.07
1214,Eletronico 1214,4852.51,0.14
1215,Eletronico 1215,741.37,0.14
1216,Eletronico 1216,4348.65,0.13
1217,Eletronico 1217,819.05,0.08
1218,Eletronico 1218,2094.67,0.13
1219,Eletronico 1219,767.42,0.15
1220,Eletronico 1220,3482.0,0.06
1221,Eletronico 1221,242.87,0.13
1222,Eletronico 1222,378.86,0.19
1223,Eletronico 1223,4807.17,0.14
1224,Eletronico 1224,3957.1,0.2
1225,Eletronico 1225,672.71,0.14
1226,Eletronico 1226,4636.15,0.15
1227,Eletronico 1227,2410.73,0.16
1228,Eletronico 1228,765.7,0.12
1229,Eletronico 1229,13.08,0.16
1230,Eletronico 1230,4464.76,0.2
1231,Eletronico 1231,616.64,0.19
1232,Eletronico 1232,255.81,0.13
1233,Eletronico 1233,3443.73,0.15
1234,Eletronico 1234,4802.12,0.16
1235,Eletronico 1235,1724.26,0.2
1236,Eletronico 1236,4268.91,0.15
1237,Eletronico 1237,4007.59,0.17
1238,Eletronico 1238,1166.33,0.11
1239,Eletronico 1239,2208.02,0.15
1240,Eletronico 1240,2715.08,0.07
1241,Eletronico 1241,4771.06,0.18
1242,Eletronico 1242,3305.2,0.12
1243,Eletronico 1243,4843.84,0.19
1244,Eletronico 1244,1025.71,0.13
1245,Eletronico 1245,365.16,0.06
1246,Eletronico 1246,3941.91,0.17
1247,Eletronico 1247,4857.35,0.07
1248,Eletronico 1248,191.86,0.09
1249,Eletronico 1249,4224.15,0.12
1250,Eletronico 1250,2998.2,0.15
1251,Eletronico 1251,3958.06,0.19
1252,Eletronico 1252,1937.83,0.19
1253,Eletronico 1253,4842.13,0.11
1254,Eletronico 1254,2207.23,0.08
1255,Eletronico 1255,1987.88,0.17
1256,Eletronico 1256,2507.62,0.15
1257,Eletronico 1257,3310.93,0.16
1258,Eletronico 1258,2296.55,0.1
1259,Eletronico 1259,2251.96,0.08
1260,Eletronico 1260,4260.72,0.14
1261,Eletronico 1261,1389.79,0.19
1262,Eletronico 1262,1007.31,0.09
1263,Eletronico 1263,4310.28,0.18
1264,Eletronico 1264,241.53,0.14
1265,Eletronico 1265,4286.42,0.2
1266,Eletronico 1266,2049.76,0.11
1267,Eletronico 1267,2470.9,0.09
1268,Eletronico 1268,3440.97,0.19
1269,Eletronico 1269,3318.31,0.1
1270,Eletronico 1270,679.45,0.07
1271,Eletronico 1271,3601.93,0.12
1272,Eletronico 1272,3150.98,0.2
1273,Eletronico 1273,4290.36,0.19
1274,Eletronico 1274,2637.56,0.1
1275,Eletronico 1275,1985.06,0.18
1276,Eletronico 1276,1139.42,0.2
1277,Eletronico 1277,1110.12,0.1
1278,Eletronico 1278,852.16,0.14
1279,Eletronico 1279,3756.96,0.15
1280,Eletronico 1280,1413.82,0.16
1281,Eletronico 1281,1894.11,0.07
1282,Eletronico 1282,2026.91,0.08
1283,Eletronico 1283,2382.73,0.16
1284,Eletronico 1284,597.36,0.08
1285,Eletronico 1285,2540.25,0.06
1286,Eletronico 1286,917.51,0.18
1287,Eletronico 1287,4006.16,0.07
1288,Eletronico 1288,4340.93,0.16
1289,Eletronico 1289,1903.12,0.05
1290,Eletronico 1290,477.23,0.08
1291,Eletronico 1291,2706.12,0.18
1292,Eletronico 1292,2714.55,0.1
1293,Eletronico 1293,180.43,0.11
1294,Eletronico 1294,2960.83,0.17
1295,Eletronico 1295,4945.43,0.07
1296,Eletronico 1296,692.45,0.06
1297,Eletronico 1297,4299.93,0.19
1298,Eletronico 1298,2390.78,0.07
1299,Eletronico 1299,300.45,0.1
1300,Eletronico 1300,454.14,0.17
1301,Eletronico 1301,2940.83,0.05
1302,Eletronico 1302,1109.28,0.13
1303,Eletronico 1303,3907.96,0.13
1304,Eletronico 1304,390.01,0.17
1305,Eletronico 1305,642.12,0.09
1306,Eletronico 1306,2297.57,0.2
1307,Eletronico 1307,3555.85,0.07
1308,Eletronico 1308,3050.55,0.19
1309,Eletronico 1309,3440.57,0.19
1310,Eletronico 1310,873.6,0.06
1311,Eletronico 1311,165.17,0.13
1312,Eletronico 1312,3923.66,0.09
1313,Eletronico 1313,694.34,0.08
1314,Eletronico 1314,224.06,0.07
1315,Eletronico 1315,3682.5,0.18
1316,Eletronico 1316,721.04,0.17
1317,Eletronico 1317,4972.0,0.16
1318,Eletronico 1318,4212.59,0.07
1319,Eletronico 1319,788.65,0.15
1320,Eletronico 1320,577.25,0.19
1321,Eletronico 1321,2595.11,0.17
1322,Eletronico 1322,3779.4,0.11
1323,Eletronico 1323,3838.49,0.11
1324,Eletronico 1324,765.06,0.16
1325,Eletronico 1325,4169.14,0.09
1326,Eletronico 1326,1262.9,0.13
1327,Eletronico 1327,1570.43,0.16
1328,Eletronico 1328,3137.75,0.05
1329,Eletronico 1329,1646.82,0.17
1330,Eletronico 1330,2953.65,0.14
1331,Eletronico 1331,38.1,0.19
1332,Eletronico 1332,2226.58,0.19
1333,Eletronico 1333,3358.73,0.06
1334,Eletronico 1334,598.98,0.05
1335,Eletronico 1335,3205.06,0.18
1336,Eletronico 1336,4259.0,0.12
1337,Eletronico 1337,1254.92,0.19
1338,Eletronico 1338,2318.43,0.1
1339,Eletronico 1339,932.46,0.17
1340,Eletronico 1340,1789.82,0.1
1341,Eletronico 1341,3356.14,0.08
1342,Eletronico 1342,3137.35,0.05
1343,Eletronico 1343,1669.09,0.05
1344,Eletronico 1344,1516.62,0.12
1345,Eletronico 1345,592.16,0.19
1346,Eletronico 1346,1846.07,0.16
1347,Eletronico 1347,2760.85,0.15
1348,Eletronico 1348,54.34,0.15
1349,Eletronico 1349,795.51,0.14
1350,Eletronico 1350,1730.42,0.14
1351,Eletronico 1351,2124.3,0.1
1352,Eletronico 1352,4301.24,0.15
1353,Eletronico 1353,981.58,0.19
1354,Eletronico 1354,929.05,0.09
1355,Eletronico 1355,4463.73,0.09
1356,Eletronico 1356,496.72,0.17
1357,Eletronico 1357,2899.86,0.1
1358,Eletronico 1358,3092.9,0.08
1359,Eletronico 1359,4277.6,0.13
1360,Eletronico 1360,1190.67,0.1
1361,Eletronico 1361,3154.72,0.06
1362,Eletronico 1362,4442.52,0.2
1363,Eletronico 1363,4684.67,0.13
1364,Eletronico 1364,1994.82,0.09
1365,Eletronico 1365,4141.39,0.13
1366,Eletronico 1366,1048.84,0.17
1367,Eletronico 1367,2931.91,0.07
1368,Eletronico 1368,3004.27,0.14
1369,Eletronico 1369,598.75,0.12
1370,Eletronico 1370,281.47,0.06
1371,Eletronico 1371,305.59,0.05
1372,Eletronico 1372,4323.55,0.16
1373,Eletronico 1373,4895.84,0.19
1374,Eletronico 1374,4021.47,0.14
1375,Eletronico 1375,1391.19,0.18
1376,Eletronico 1376,3841.34,0.12
1377,Eletronico 1377,2846.5,0.19
1378,Eletronico 1378,3661.21,0.18
1379,Eletronico 1379,1352.95,0.15
1380,Eletronico 1380,106.11,0.15
1381,Eletronico 1381,4541.44,0.05
1382,Eletronico 1382,4077.12,0.11
1383,Eletronico 1383,753.24,0.19
1384,Eletronico 1384,23.41,0.19
1385,Eletronico 1385,4032.08,0.11
1386,Eletronico 1386,1568.54,0.15
1387,Eletronico 1387,703.05,0.05
1388,Eletronico 1388,3622.58,0.09
1389,Eletronico 1389,2460.79,0.19
1390,Eletronico 1390,1470.25,0.07
1391,Eletronico 1391,4558.87,0.15
1392,Eletronico 1392,4035.01,0.18
1393,Eletronico 1393,414.48,0.05
1394,Eletronico 1394,537.13,0.18
1395,Eletronico 1395,3501.19,0.16
1396,Eletronico 1396,2042.13,0.19
1397,Eletronico 1397,2465.67,0.09
1398,Eletronico 1398,2186.06,0.15
1399,Eletronico 1399,427.64,0.05
1400,Eletronico 1400,2863.28,0.07
1401,Eletronico 1401,1720.7,0.1
1402,Eletronico 1402,3536.56,0.11
1403,Eletronico 1403,2425.4,0.08
1404,Eletronico 1404,1457.75,0.1
1405,Eletronico 1405,1677.27,0.11
1406,Eletronico 1406,4365.44,0.17
1407,Eletronico 1407,4912.7,0.15
1408,Eletronico 1408,2242.06,0.19
1409,Eletronico 1409,952.23,0.15
1410,Eletronico 1410,1979.03,0.12
1411,Eletronico 1411,3474.1,0.07
1412,Eletronico 1412,1544.99,0.17
1413,Eletronico 1413,406.73,0.19
1414,Eletronico 1414,1195.43,0.11
1415,Eletronico 1415,4399.53,0.14
1416,Eletronico 1416,77.86,0.12
1417,Eletronico 1417,2365.5,0.2
1418,Eletronico 1418,4762.96,0.16
1419,Eletronico 1419,4780.36,0.11
1420,Eletronico 1420,3463.22,0.07
1421,Eletronico 1421,4780.29,0.12
1422,Eletronico 1422,4115.4,0.11
1423,Eletronico 1423,4573.48,0.14
1424,Eletronico 1424,3756.77,0.16
1425,Eletronico 1425,1349.1,0.1
1426,Eletronico 1426,3933.19,0.11
1427,Eletronico 1427,4636.37,0.13
1428,Eletronico 1428,4638.36,0.11
1429,Eletronico 1429,4557.27,0.15
1430,Eletronico 1430,3558.46,0.15
1431,Eletronico 1431,2916.41,0.12
1432,Eletronico 1432,2277.09,0.13
1433,Eletronico 1433,3310.24,0.07
1434,Eletronico 1434,1837.82,0.2
1435,Eletronico 1435,81.59,0.14
1436,Eletronico 1436,4492.16,0.13
1437,Eletronico 1437,4516.74,0.08
1438,Eletronico 1438,222.54,0.1
1439,Eletronico 1439,3073.14,0.16
1440,Eletronico 1440,4927.44,0.12
1441,Eletronico 1441,4426.61,0.1
