id,descricao,tamanho,preco
863,Roupa 863,G,1245.6
864,Roupa 864,PP,4074.55
865,Roupa 865,PP,524.12
866,Roupa 866,M,1697.44
867,Roupa 867,GG,3992.63
868,Roupa 868,G,4076.23
869,Roupa 869,G,4359.33
870,Roupa 870,P,2510.42
871,Roupa 871,PP,1163.52
872,Roupa 872,G,140.81
873,Roupa 873,M,2501.46
874,Roupa 874,GG,2819.7
875,Roupa 875,P,4858.21
876,Roupa 876,PP,2512.37
877,Roupa 877,M,4319.94
878,Roupa 878,G,3742.21
879,Roupa 879,GG,1901.75
880,Roupa 880,GG,544.52
881,Roupa 881,PP,4758.62
882,Roupa 882,GG,3766.51
883,Roupa 883,M,3807.44
884,Roupa 884,P,2652.16
885,Roupa 885,P,2943.79
886,Roupa 886,M,1417.58
887,Roupa 887,G,4093.34
888,Roupa 888,G,3913.16
889,Roupa 889,G,2064.01
890,Roupa 890,GG,188.13
891,Roupa 891,P,4040.08
892,Roupa 892,G,1194.97
893,Roupa 893,GG,2260.17
894,Roupa 894,P,1587.25
895,Roupa 895,PP,4561.85
896,Roupa 896,GG,875.54
897,Roupa 897,G,2588.5
898,Roupa 898,GG,1618.24
899,Roupa 899,P,367.59
900,Roupa 900,GG,1021.13
901,Roupa 901,GG,1537.37
902,Roupa 902,P,4833.19
903,Roupa 903,P,2356.16
904,Roupa 904,M,4452.3
905,Roupa 905,GG,4182.61
906,Roupa 906,P,3834.74
907,Roupa 907,M,2398.09
908,Roupa 908,M,1438.7
909,Roupa 909,G,4257.79
910,Roupa 910,GG,968.57
911,Roupa 911,PP,3894.16
912,Roupa 912,P,3222.45
913,Roupa 913,GG,137.32
914,Roupa 914,M,3618.59
915,Roupa 915,M,645.39
916,Roupa 916,M,3399.86
917,Roupa 917,P,1282.03
918,Roupa 918,P,2441.06
919,Roupa 919,P,904.26
920,Roupa 920,G,3629.33
921,Roupa 921,G,1391.8
922,Roupa 922,P,2659.98
923,Roupa 923,PP,3318.18
924,Roupa 924,PP,864.49
925,Roupa 925,G,4770.68
926,Roupa 926,G,115.31
927,Roupa 927,G,1007.49
928,Roupa 928,M,3710.36
929,Roupa 929,M,809.2
930,Roupa 930,GG,2010.86
931,Roupa 931,GG,4005.19
932,Roupa 932,P,683.67
933,Roupa 933,G,2019.17
934,Roupa 934,M,4686.59
935,Roupa 935,M,1733.91
936,Roupa 936,GG,3649.31
937,Roupa 937,G,3351.51
938,Roupa 938,M,4111.45
939,Roupa 939,G,1674.07
940,Roupa 940,P,268.38
941,Roupa 941,M,2482.65
942,Roupa 942,GG,1001.76
943,Roupa 943,GG,2984.84
944,Roupa 944,PP,4138.96
945,Roupa 945,PP,3563.29
946,Roupa 946,M,1461.06
947,Roupa 947,PP,2626.29
948,Roupa 948,GG,336.96
949,Roupa 949,P,3594.57
950,Roupa 950,GG,2779.29
951,Roupa 951,GG,4772.31
952,Roupa 952,M,4705.83
953,Roupa 953,G,1809.52
954,Roupa 954,P,377.61
955,Roupa 955,M,1553.9
956,Roupa 956,M,2430.76
957,Roupa 957,M,3859.86
958,Roupa 958,M,2685.07
959,Roupa 959,G,350.24
960,Roupa 960,M,3629.83
961,Roupa 961,G,4277.54
962,Roupa 962,P,4403.74
963,Roupa 963,PP,1058.69
964,Roupa 964,PP,4437.69
965,Roupa 965,M,1825.37
966,Roupa 966,GG,4258.16
967,Roupa 967,GG,4811.69
968,Roupa 968,G,3415.67
969,Roupa 969,P,169.52
970,Roupa 970,G,828.31
971,Roupa 971,PP,814.59
972,Roupa 972,PP,1253.53
973,Roupa 973,GG,4157.12
974,Roupa 974,G,2083.37
975,Roupa 975,G,3521.31
976,Roupa 976,GG,3898.89
977,Roupa 977,PP,2953.07
978,Roupa 978,GG,2713.89
979,Roupa 979,G,3310.95
980,Roupa 980,P,3834.21
981,Roupa 981,GG,4230.21
982,Roupa 982,PP,2496.08
983,Roupa 983,P,859.71
984,Roupa 984,G,4482.5
985,Roupa 985,PP,1410.11
986,Roupa 986,PP,2088.36
987,Roupa 987,P,1366.22
988,Roupa 988,P,1989.94
989,Roupa 989,P,3113.74
990,Roupa 990,M,3860.05
991,Roupa 991,P,2215.55
992,Roupa 992,P,1747.28
993,Roupa 993,G,2125.21
994,Roupa 994,GG,1930.96
995,Roupa 995,GG,3436.53
996,Roupa 996,PP,3694.69
997,Roupa 997,PP,2484.26
998,Roupa 998,GG,1125.58
999,Roupa 999,PP,533.82
1000,Roupa 1000,G,3079.93
1001,Roupa 1001,G,3120.78
1002,Roupa 1002,M,2198.94
1003,Roupa 1003,P,3481.69
1004,Roupa 1004,G,4257.53
1005,Roupa 1005,G,732.99
1006,Roupa 1006,PP,867.17
1007,Roupa 1007,P,4103.5
1008,Roupa 1008,G,422.86
1009,Roupa 1009,M,2394.25
1010,Roupa 1010,P,4067.17
1011,Roupa 1011,GG,2687.94
1012,Roupa 1012,G,4336.43
1013,Roupa 1013,GG,4128.11
1014,Roupa 1014,PP,2636.0
1015,Roupa 1015,GG,3561.62
1016,Roupa 1016,P,1403.18
1017,Roupa 1017,GG,574.25
1018,Roupa 1018,PP,3112.58
1019,Roupa 1019,G,1667.48
1020,Roupa 1020,M,1050.09
1021,Roupa 1021,GG,2344.78
1022,Roupa 1022,P,181.92
1023,Roupa 1023,G,2829.8
1024,Roupa 1024,GG,858.65
1025,Roupa 1025,GG,3592.81
1026,Roupa 1026,M,4391.94
1027,Roupa 1027,M,3026.29
1028,Roupa 1028,GG,2894.88
1029,Roupa 1029,GG,1040.13
1030,Roupa 1030,GG,4190.09
1031,Roupa 1031,P,61.23
1032,Roupa 1032,M,1511.58
1033,Roupa 1033,GG,2759.71
1034,Roupa 1034,M,2144.42
1035,Roupa 1035,M,3318.12
1036,Roupa 1036,G,2214.49
1037,Roupa 1037,P,4768.29
1038,Roupa 1038,M,2953.35
1039,Roupa 1039,P,3699.8
1040,Roupa 1040,M,2059.22
1041,Roupa 1041,G,1822.41
1042,Roupa 1042,P,4218.58
1043,Roupa 1043,M,3578.03
1044,Roupa 1044,P,4695.35
1045,Roupa 1045,M,228.49
1046,Roupa 1046,G,2869.85
1047,Roupa 1047,P,1045.81
1048,Roupa 1048,PP,3311.23
1049,Roupa 1049,M,1444.08
1050,Roupa 1050,GG,1693.08
1051,Roupa 1051,G,2515.15
1052,Roupa 1052,GG,3827.76
1053,Roupa 1053,G,390.02
1054,Roupa 1054,G,4615.52
1055,Roupa 1055,PP,3937.2
1056,Roupa 1056,PP,1276.23
1057,Roupa 1057,PP,1638.69
1058,Roupa 1058,G,4840.16
1059,Roupa 1059,G,4443.45
1060,Roupa 1060,P,834.23
1061,Roupa 1061,PP,69.1
1062,Roupa 1062,M,1099.54
1063,Roupa 1063,M,2740.87
1064,Roupa 1064,GG,3575.07
1065,Roupa 1065,GG,825.7
1066,Roupa 1066,GG,1004.0
1067,Roupa 1067,M,4304.08
1068,Roupa 1068,GG,1287.79
1069,Roupa 1069,M,1670.78
1070,Roupa 1070,M,2837.8
1071,Roupa 1071,G,1484.93
1072,Roupa 1072,GG,4802.87
1073,Roupa 1073,P,4227.38
1074,Roupa 1074,P,2137.42
1075,Roupa 1075,GG,905.89
1076,Roupa 1076,M,1024.03
1077,Roupa 1077,P,4162.84
1078,Roupa 1078,M,699.55
1079,Roupa 1079,PP,114.13
1080,Roupa 1080,G,183.22
1081,Roupa 1081,M,4924.36
1082,Roupa 1082,GG,1731.23
1083,Roupa 1083,P,4220.49
1084,Roupa 1084,GG,2115.1
1085,Roupa 1085,G,4132.12
1086,Roupa 1086,G,3337.42
1087,Roupa 1087,M,3886.4
1088,Roupa 1088,GG,3109.87
1089,Roupa 1089,GG,341.14
1090,Roupa 1090,PP,4422.3
1091,Roupa 1091,GG,624.61
1092,Roupa 1092,M,3197.59
1093,Roupa 1093,PP,380.53
1094,Roupa 1094,PP,3866.7
1095,Roupa 1095,GG,3904.13
1096,Roupa 1096,GG,3609.31
1097,Roupa 1097,PP,3584.55
1098,Roupa 1098,P,605.67
1099,Roupa 1099,M,2147.26
1100,Roupa 1100,M,3483.42
1101,Roupa 1101,PP,4544.28
1102,Roupa 1102,P,42.21
1103,Roupa 1103,PP,4736.91
1104,Roupa 1104,PP,1838.11
1105,Roupa 1105,PP,2312.96
1106,Roupa 1106,P,2613.27
1107,Roupa 1107,M,2090.04
1108,Roupa 1108,G,4108.33
1109,Roupa 1109,G,3667.66
1110,Roupa 1110,G,456.82
1111,Roupa 1111,M,2438.03
1112,Roupa 1112,GG,3654.38
1113,Roupa 1113,M,3458.41
1114,Roupa 1114,PP,4396.72
1115,Roupa 1115,P,4239.12
1116,Roupa 1116,GG,492.18
1117,Roupa 1117,GG,2749.25
1118,Roupa 1118,P,60.71
1119,Roupa 1119,GG,3198.31
1120,Roupa 1120,M,763.9
1121,Roupa 1121,GG,1813.96
1122,Roupa 1122,GG,2706.13
1123,Roupa 1123,G,1395.01
1124,Roupa 1124,P,2511.54
1125,Roupa 1125,G,249.36
1126,Roupa 1126,GG,2753.96
1127,Roupa 1127,P,1176.09
1128,Roupa 1128,PP,3537.89
1129,Roupa 1129,M,3937.73
1130,Roupa 1130,G,1300.21
1131,Roupa 1131,GG,450.39
1132,Roupa 1132,M,4140.11
1133,Roupa 1133,P,3604.98
1134,Roupa 1134,M,4221.42
1135,Roupa 1135,P,4680.81
1136,Roupa 1136,G,755.64
1137,Roupa 1137,PP,2586.51
1138,Roupa 1138,M,4365.24
1139,Roupa 1139,M,1815.44
1140,Roupa 1140,GG,2512.53
1141,Roupa 1141,G,3800.34
1142,Roupa 1142,PP,2566.93
1143,Roupa 1143,M,1295.37
1144,Roupa 1144,PP,2171.99
1145,Roupa 1145,G,1748.58
1146,Roupa 1146,PP,1655.95
1147,Roupa 1147,P,1765.25
1148,Roupa 1148,P,2788.28
1149,Roupa 1149,PP,1719.58
1150,Roupa 1150,M,793.7
1151,Roupa 1151,G,4944.26
1152,Roupa 1152,M,281.79
1153,Roupa 1153,GG,2776.95
1154,Roupa 1154,PP,3426.23
1155,Roupa 1155,GG,4440.54
1156,Roupa 1156,P,4253.45
1157,Roupa 1157,GG,3953.55
1158,Roupa 1158,GG,4052.39
1159,Roupa 1159,PP,4102.34
1160,Roupa 1160,GG,2962.99
1161,Roupa 1161,G,4687.4
1162,Roupa 1162,G,4917.27
1163,Roupa 1163,P,4737.72
1164,Roupa 1164,P,1253.11
1165,Roupa 1165,M,4483.18
1166,Roupa 1166,G,3042.7
1167,Roupa 1167,G,2776.77
1168,Roupa 1168,GG,2079.61
1169,Roupa 1169,G,2536.66
1170,Roupa 1170,M,3195.95
1171,Roupa 1171,GG,4486.6
1172,Roupa 1172,PP,3470.32
1173,Roupa 1173,PP,3980.08
1174,Roupa 1174,M,978.9
1175,Roupa 1175,M,2545.98
1176,Roupa 1176,P,2675.3
1177,Roupa 1177,PP,2002.49
1178,Roupa 1178,G,1753.52
1179,Roupa 1179,PP,4149.01
1180,Roupa 1180,PP,2402.2
1181,Roupa 1181,G,613.44
1182,Roupa 1182,G,3223.25
1183,Roupa 1183,GG,1796.06
1184,Roupa 1184,GG,408.29
1185,Roupa 1185,PP,3731.45
1186,Roupa 1186,M,4210.75
1187,Roupa 1187,P,2543.82
1188,Roupa 1188,G,3287.85
1189,Roupa 1189,P,197.58
1190,Roupa 1190,M,2877.43
1191,Roupa 1191,P,2944.89
1192,Roupa 1192,P,1675.44
1193,Roupa 1193,M,4628.46
1194,Roupa 1194,PP,4431.74
1195,Roupa 1195,P,2449.44
1196,Roupa 1196,PP,2051.46
1197,Roupa 1197,PP,4043.49
1198,Roupa 1198,GG,3569.87
1199,Roupa 1199,G,1345.44
1200,Roupa 1200,PP,4241.0
1201,Roupa 1201,P,4456.04
1202,Roupa 1202,M,2912.49
1203,Roupa 1203,M,136.96
1204,Roupa 1204,G,4118.55
1205,Roupa 1205,PP,4789.95
1206,Roupa 1206,P,303.25
1207,Roupa 1207,GG,2269.59
1208,Roupa 1208,G,3440.68
1209,Roupa 1209,PP,4323.7
1210,Roupa 1210,G,2723.84
1211,Roupa 1211,PP,3251.21
1212,Roupa 1212,G,85.48
1213,Roupa 1213,GG,2027.35
1214,Roupa 1214,GG,4189.99
1215,Roupa 1215,GG,1497.53
1216,Roupa 1216,PP,4685.5
1217,Roupa 1217,GG,2092.92
1218,Roupa 1218,M,751.77
1219,Roupa 1219,M,3090.79
1220,Roupa 1220,M,2705.41
1221,Roupa 1221,GG,4639.61
1222,Roupa 1222,PP,3685.79
1223,Roupa 1223,M,4424.88
1224,Roupa 1224,GG,347.09
1225,Roupa 1225,M,643.23
1226,Roupa 1226,GG,2277.23
1227,Roupa 1227,PP,180.71
1228,Roupa 1228,GG,3648.84
1229,Roupa 1229,GG,2673.6
1230,Roupa 1230,GG,4069.22
1231,Roupa 1231,PP,3045.28
1232,Roupa 1232,PP,3665.11
1233,Roupa 1233,PP,2199.63
1234,Roupa 1234,GG,662.05
1235,Roupa 1235,GG,4016.05
1236,Roupa 1236,M,2738.48
1237,Roupa 1237,PP,406.27
1238,Roupa 1238,P,758.85
1239,Roupa 1239,GG,4140.57
1240,Roupa 1240,PP,1038.98
1241,Roupa 1241,M,2440.44
1242,Roupa 1242,G,2471.53
1243,Roupa 1243,G,4817.3
1244,Roupa 1244,GG,1284.77
1245,Roupa 1245,M,3838.46
1246,Roupa 1246,G,2122.33
1247,Roupa 1247,GG,4310.19
1248,Roupa 1248,GG,1842.18
1249,Roupa 1249,M,963.45
1250,Roupa 1250,GG,2369.49
1251,Roupa 1251,GG,913.36
1252,Roupa 1252,M,4453.5
1253,Roupa 1253,PP,305.88
1254,Roupa 1254,M,288.86
1255,Roupa 1255,G,4952.26
1256,Roupa 1256,PP,4679.32
1257,Roupa 1257,GG,229.54
1258,Roupa 1258,G,1954.01
1259,Roupa 1259,M,2390.1
1260,Roupa 1260,G,1056.37
1261,Roupa 1261,PP,446.5
1262,Roupa 1262,M,169.7
1263,Roupa 1263,M,4247.51
1264,Roupa 1264,P,1372.07
1265,Roupa 1265,PP,4883.31
1266,Roupa 1266,GG,536.8
1267,Roupa 1267,M,1072.69
1268,Roupa 1268,GG,735.37
1269,Roupa 1269,M,4180.61
1270,Roupa 1270,PP,1767.58
1271,Roupa 1271,G,4189.96
1272,Roupa 1272,GG,4411.93
1273,Roupa 1273,P,2867.6
1274,Roupa 1274,PP,4300.01
1275,Roupa 1275,M,4744.12
1276,Roupa 1276,M,1594.09
1277,Roupa 1277,P,4351.74
1278,Roupa 1278,M,3796.3
1279,Roupa 1279,M,201.33
1280,Roupa 1280,PP,3546.42
1281,Roupa 1281,PP,187.57
1282,Roupa 1282,PP,3433.39
1283,Roupa 1283,PP,4659.78
1284,Roupa 1284,G,1785.86
1285,Roupa 1285,P,3476.34
1286,Roupa 1286,GG,2636.39
1287,Roupa 1287,PP,3786.78
1288,Roupa 1288,GG,1215.66
1289,Roupa 1289,P,3689.73
1290,Roupa 1290,P,1765.77
1291,Roupa 1291,PP,108.58
1292,Roupa 1292,PP,2750.59
1293,Roupa 1293,PP,439.79
1294,Roupa 1294,P,2822.14
1295,Roupa 1295,GG,4654.8
1296,Roupa 1296,PP,2903.04
1297,Roupa 1297,M,1213.68
1298,Roupa 1298,GG,3755.22
1299,Roupa 1299,P,1319.31
1300,Roupa 1300,PP,4015.48
1301,Roupa 1301,P,2131.58
1302,Roupa 1302,P,2232.15
1303,Roupa 1303,PP,2483.44
1304,Roupa 1304,G,140.12
1305,Roupa 1305,M,1061.11
1306,Roupa 1306,G,1335.09
1307,Roupa 1307,PP,3862.38
1308,Roupa 1308,P,1820.27
1309,Roupa 1309,GG,796.04
1310,Roupa 1310,P,383.67
1311,Roupa 1311,PP,3579.41
1312,Roupa 1312,M,4281.45
1313,Roupa 1313,M,456.77
1314,Roupa 1314,GG,4582.54
1315,Roupa 1315,PP,2887.23
1316,Roupa 1316,PP,2647.56
1317,Roupa 1317,PP,1288.57
1318,Roupa 1318,M,3897.41
1319,Roupa 1319,GG,4574.72
1320,Roupa 1320,PP,2009.67
1321,Roupa 1321,G,2315.45
1322,Roupa 1322,GG,672.18
1323,Roupa 1323,PP,1787.54
1324,Roupa 1324,P,4313.52
1325,Roupa 1325,P,3790.46
1326,Roupa 1326,P,2612.86
1327,Roupa 1327,PP,3405.89
1328,Roupa 1328,P,4563.01
1329,Roupa 1329,GG,144.37
1330,Roupa 1330,PP,2844.16
1331,Roupa 1331,P,2548.09
1332,Roupa 1332,G,425.72
1333,Roupa 1333,M,3155.71
1334,Roupa 1334,G,3980.94
1335,Roupa 1335,P,2898.64
1336,Roupa 1336,P,197.87
1337,Roupa 1337,M,364.87
1338,Roupa 1338,G,1259.74
1339,Roupa 1339,GG,3120.07
1340,Roupa 1340,M,4424.38
1341,Roupa 1341,GG,3407.65
1342,Roupa 1342,P,4603.87
1343,Roupa 1343,PP,716.92
1344,Roupa 1344,PP,2096.65
1345,Roupa 1345,M,2050.88
1346,Roupa 1346,GG,492.86
1347,Roupa 1347,G,248.76
1348,Roupa 1348,GG,3497.19
1349,Roupa 1349,G,4587.93
1350,Roupa 1350,PP,3577.96
1351,Roupa 1351,PP,1409.32
1352,Roupa 1352,PP,3712.46
1353,Roupa 1353,P,1564.9
1354,Roupa 1354,PP,951.2
1355,Roupa 1355,PP,2683.79
1356,Roupa 1356,P,3164.78
1357,Roupa 1357,P,3931.86
1358,Roupa 1358,PP,1402.76
1359,Roupa 1359,GG,1613.95
1360,Roupa 1360,G,696.41
1361,Roupa 1361,PP,1656.01
1362,Roupa 1362,M,4682.03
1363,Roupa 1363,G,3872.34
1364,Roupa 1364,M,162.33
1365,Roupa 1365,M,3938.23
1366,Roupa 1366,G,2700.9
1367,Roupa 1367,PP,2051.11
1368,Roupa 1368,PP,3951.53
1369,Roupa 1369,G,1421.6
1370,Roupa 1370,GG,424.51
1371,Roupa 1371,P,2375.02
1372,Roupa 1372,GG,4539.6
1373,Roupa 1373,PP,431.16
1374,Roupa 1374,GG,2090.6
1375,Roupa 1375,G,1189.11
1376,Roupa 1376,PP,3845.95
1377,Roupa 1377,GG,4284.03
1378,Roupa 1378,M,521.3
1379,Roupa 1379,PP,3566.42
1380,Roupa 1380,GG,457.86
1381,Roupa 1381,M,4385.35
1382,Roupa 1382,P,4922.76
1383,Roupa 1383,M,2621.59
1384,Roupa 1384,P,3930.69
1385,Roupa 1385,G,3188.9
1386,Roupa 1386,G,2730.65
1387,Roupa 1387,PP,415.23
1388,Roupa 1388,G,4551.47
1389,Roupa 1389,GG,3851.35
1390,Roupa 1390,G,3641.01
1391,Roupa 1391,P,2970.4
1392,Roupa 1392,G,604.83
1393,Roupa 1393,M,915.56
1394,Roupa 1394,M,2989.43
1395,Roupa 1395,P,4123.42
1396,Roupa 1396,GG,1866.31
1397,Roupa 1397,GG,3252.04
1398,Roupa 1398,G,2569.04
1399,Roupa 1399,G,251.58
1400,Roupa 1400,P,3995.4
1401,Roupa 1401,GG,3946.5
1402,Roupa 1402,P,4823.06
1403,Roupa 1403,M,231.58
1404,Roupa 1404,M,4988.84
1405,Roupa 1405,GG,4789.42
1406,Roupa 1406,M,2039.84
1407,Roupa 1407,GG,4880.24
1408,Roupa 1408,G,1860.63
1409,Roupa 1409,PP,2486.99
1410,Roupa 1410,M,1698.53
1411,Roupa 1411,PP,1141.63
1412,Roupa 1412,G,557.77
1413,Roupa 1413,M,1282.66
1414,Roupa 1414,GG,2532.18
1415,Roupa 1415,PP,3567.73
1416,Roupa 1416,G,2263.98
1417,Roupa 1417,G,640.31
1418,Roupa 1418,PP,564.95
1419,Roupa 1419,P,2220.73
1420,Roupa 1420,P,1269.22
1421,Roupa 1421,G,4979.51
1422,Roupa 1422,GG,1869.57
1423,Roupa 1423,PP,1697.6
1424,Roupa 1424,P,1950.33
1425,Roupa 1425,M,3521.35
1426,Roupa 1426,M,793.88
1427,Roupa 1427,M,1298.09
1428,Roupa 1428,P,350.05
1429,Roupa 1429,P,2783.07
1430,Roupa 1430,P,1184.67
1431,Roupa 1431,M,2565.14
1432,Roupa 1432,P,4679.44
1433,Roupa 1433,M,1279.28
1434,Roupa 1434,P,4251.8
1435,Roupa 1435,G,4619.73
1436,Roupa 1436,PP,4830.62
1437,Roupa 1437,GG,3280.37
1438,Roupa 1438,PP,156.58
1439,Roupa 1439,G,3093.94
1440,Roupa 1440,GG,2809.04
1441,Roupa 1441,P,3009.32
1442,Roupa 1442,PP,2004.77
1443,Roupa 1443,M,3587.95
1444,Roupa 1444,G,1442.84
1445,Roupa 1445,PP,2414.86
1446,Roupa 1446,PP,3839.13
1447,Roupa 1447,PP,2886.8
1448,Roupa 1448,M,2421.74
1449,Roupa 1449,M,4144.18
1450,Roupa 1450,GG,3846.33
1451,Roupa 1451,PP,3891.34
1452,Roupa 1452,PP,2608.36
1453,Roupa 1453,P,2520.91
1454,Roupa 1454,M,1912.66
1455,Roupa 1455,M,158.15
1456,Roupa 1456,G,3653.73
1457,Roupa 1457,PP,2132.11
1458,Roupa 1458,M,2989.07
1459,Roupa 1459,GG,3314.25
1460,Roupa 1460,G,1769.62
1461,Roupa 1461,P,3965.56
1462,Roupa 1462,M,3584.98
1463,Roupa 1463,GG,4943.55
1464,Roupa 1464,G,4573.49
1465,Roupa 1465,G,3749.18
1466,Roupa 1466,GG,628.67
1467,Roupa 1467,G,1092.43
1468,Roupa 1468,GG,1527.86
1469,Roupa 1469,M,488.77
1470,Roupa 1470,M,784.3
1471,Roupa 1471,P,3362.76
1472,Roupa 1472,G,313.71
1473,Roupa 1473,P,2804.91
1474,Roupa 1474,PP,3852.77
1475,Roupa 1475,P,248.04
1476,Roupa 1476,GG,181.2
1477,Roupa 1477,G,2522.33
1478,Roupa 1478,P,3377.54
1479,Roupa 1479,G,31.79
1480,Roupa 1480,P,1547.28
1481,Roupa 1481,M,372.29
1482,Roupa 1482,G,611.21
1483,Roupa 1483,PP,735.86
1484,Roupa 1484,PP,326.73
1485,Roupa 1485,GG,2867.56
1486,Roupa 1486,G,1231.73
1487,Roupa 1487,M,842.2
1488,Roupa 1488,GG,2105.06
1489,Roupa 1489,G,608.26
1490,Roupa 1490,GG,1685.14
1491,Roupa 1491,G,2610.27
1492,Roupa 1492,GG,4924.6
1493,Roupa 1493,PP,2911.11
1494,Roupa 1494,GG,684.54
1495,Roupa 1495,PP,198.08
1496,Roupa 1496,G,3320.43
1497,Roupa 1497,M,3135.46
1498,Roupa 1498,P,3236.44
1499,Roupa 1499,PP,2442.6
1500,Roupa 1500,PP,302.59
1501,Roupa 1501,G,3483.55
1502,Roupa 1502,P,4565.52
1503,Roupa 1503,PP,4496.39
1504,Roupa 1504,P,4760.78
1505,Roupa 1505,M,594.89
1506,Roupa 1506,GG,3200.12
1507,Roupa 1507,G,2058.37
1508,Roupa 1508,GG,3872.87
1509,Roupa 1509,GG,3933.04
1510,Roupa 1510,GG,4185.13
1511,Roupa 1511,M,1174.54
1512,Roupa 1512,M,177.41
1513,Roupa 1513,P,1175.44
1514,Roupa 1514,GG,903.06
1515,Roupa 1515,PP,2993.03
1516,Roupa 1516,P,2061.36
1517,Roupa 1517,PP,3922.19
1518,Roupa 1518,M,4699.45
1519,Roupa 1519,PP,2580.06
1520,Roupa 1520,G,264.73
1521,Roupa 1521,M,987.21
1522,Roupa 1522,GG,4490.18
1523,Roupa 1523,GG,3210.4
1524,Roupa 1524,GG,1724.21
1525,Roupa 1525,M,4661.79
1526,Roupa 1526,P,4735.72
1527,Roupa 1527,M,2088.97
1528,Roupa 1528,GG,987.59
1529,Roupa 1529,P,1778.1
1530,Roupa 1530,M,3934.14
1531,Roupa 1531,GG,2986.78
1532,Roupa 1532,GG,2063.88
1533,Roupa 1533,M,4203.3
1534,Roupa 1534,G,2860.87
1535,Roupa 1535,P,3769.48
1536,Roupa 1536,G,4788.46
1537,Roupa 1537,P,897.89
1538,Roupa 1538,G,32.67
1539,Roupa 1539,M,2306.42
1540,Roupa 1540,M,4631.94
1541,Roupa 1541,P,109.42
1542,Roupa 1542,M,2659.51
1543,Roupa 1543,P,1839.42
1544,Roupa 1544,P,3910.88
1545,Roupa 1545,PP,2158.62
1546,Roupa 1546,GG,1207.71
1547,Roupa 1547,P,3896.39
1548,Roupa 1548,G,1295.94
1549,Roupa 1549,M,3068.68
1550,Roupa 1550,PP,1329.98
1551,Roupa 1551,M,3807.12
1552,Roupa 1552,P,3701.3
1553,Roupa 1553,GG,3130.39
1554,Roupa 1554,G,1670.04
1555,Roupa 1555,M,3586.65
1556,Roupa 1556,G,3110.11
1557,Roupa 1557,PP,4637.21
1558,Roupa 1558,G,91.96
1559,Roupa 1559,PP,4358.2
1560,Roupa 1560,G,2248.9
1561,Roupa 1561,P,4628.92
1562,Roupa 1562,GG,4696.75
1563,Roupa 1563,M,4225.39
1564,Roupa 1564,P,1568.4
1565,Roupa 1565,P,3956.42
1566,Roupa 1566,G,4372.47
1567,Roupa 1567,G,615.24
1568,Roupa 1568,GG,2175.56
1569,Roupa 1569,G,2209.04
1570,Roupa 1570,P,4744.72
1571,Roupa 1571,M,944.19
1572,Roupa 1572,GG,793.05
1573,Roupa 1573,M,387.44
1574,Roupa 1574,G,234.98
1575,Roupa 1575,M,1745.3
1576,Roupa 1576,G,862.24
1577,Roupa 1577,PP,3579.69
1578,Roupa 1578,M,4722.36
1579,Roupa 1579,G,4016.56
1580,Roupa 1580,G,3250.12
1581,Roupa 1581,PP,106.08
1582,Roupa 1582,G,2972.98
1583,Roupa 1583,M,3707.89
1584,Roupa 1584,M,3622.2
1585,Roupa 1585,G,3227.05
1586,Roupa 1586,P,4161.57
1587,Roupa 1587,GG,1848.42
1588,Roupa 1588,M,551.6
1589,Roupa 1589,M,751.93
1590,Roupa 1590,PP,3810.2
1591,Roupa 1591,P,4785.95
1592,Roupa 1592,PP,2194.39
1593,Roupa 1593,GG,3101.52
1594,Roupa 1594,GG,2589.25
1595,Roupa 1595,P,3350.65
1596,Roupa 1596,G,4172.94
1597,Roupa 1597,PP,1302.75
1598,Roupa 1598,GG,1725.56
1599,Roupa 1599,PP,812.7
1600,Roupa 1600,G,730.48
1601,Roupa 1601,P,3494.7
1602,Roupa 1602,M,2572.83
1603,Roupa 1603,P,470.78
1604,Roupa 1604,G,3660.16
1605,Roupa 1605,P,2061.73
1606,Roupa 1606,PP,1245.16
1607,Roupa 1607,G,1672.05
1608,Roupa 1608,GG,139.05
1609,Roupa 1609,PP,2441.15
1610,Roupa 1610,M,4696.66
1611,Roupa 1611,P,2890.81
1612,Roupa 1612,G,614.37
1613,Roupa 1613,PP,4936.49
1614,Roupa 1614,M,36.57
1615,Roupa 1615,GG,3647.52
1616,Roupa 1616,M,4377.07
1617,Roupa 1617,P,584.45
1618,Roupa 1618,P,1837.45
1619,Roupa 1619,GG,1736.32
1620,Roupa 1620,GG,4085.75
1621,Roupa 1621,G,3834.76
1622,Roupa 1622,P,4172.76
1623,Roupa 1623,PP,1611.88
1624,Roupa 1624,PP,4449.31
1625,Roupa 1625,P,3081.18
1626,Roupa 1626,P,977.42
1627,Roupa 1627,G,3128.73
1628,Roupa 1628,GG,2688.78
1629,Roupa 1629,G,4845.27
1630,Roupa 1630,M,1601.46
1631,Roupa 1631,M,1064.87
1632,Roupa 1632,PP,3912.28
1633,Roupa 1633,P,3397.56
1634,Roupa 1634,PP,697.62
1635,Roupa 1635,P,587.42
1636,Roupa 1636,GG,1858.29
1637,Roupa 1637,G,1085.17
1638,Roupa 1638,M,2639.11
1639,Roupa 1639,GG,107.48
1640,Roupa 1640,G,816.06
1641,Roupa 1641,GG,2504.56
1642,Roupa 1642,M,3437.13
1643,Roupa 1643,GG,2942.59
1644,Roupa 1644,PP,324.48
1645,Roupa 1645,P,1705.92
